Sale_Id;Product_Id;Customer_Id;Salesman_Id;Sale_Amount;Sale_Date
5105;10812345;20181;111;3;2015.09.27
5205;12812345;20181;111;3;2010.07.02
5305;23412345;20181;111;2;2014.03.10
5405;21712345;20181;211;2;2011.02.26
5505;33212345;20181;211;3;2017.01.31
5605;32212345;20181;211;2;2015.10.11
5705;43254321;20181;311;1;2014.02.26
5805;53154321;20181;311;1;2014.03.31
5905;51154321;20181;311;2;2011.06.16
51005;61654321;20181;411;3;2014.11.30
51105;71698765;20181;411;3;2014.03.06
51205;79598765;20181;411;3;2016.08.10
51305;74298765;20181;111;2;2017.12.09
51405;84898765;20181;211;1;2010.01.19
51505;92798765;20181;311;2;2015.04.18
51605;12012345;20182;112;3;2011.10.29
51705;12612345;20182;112;2;2013.12.30
51805;20512345;20182;112;3;2016.05.24
51905;23112345;20182;212;1;2013.10.26
52005;31612345;20182;212;1;2017.08.11
52105;30612345;20182;212;1;2016.05.08
52205;40654321;20182;312;1;2016.04.12
52305;51254321;20182;312;3;2010.12.07
52405;53754321;20182;312;1;2013.10.15
52505;62854321;20182;412;2;2012.06.01
52605;72798765;20182;412;2;2013.01.02
52705;74398765;20182;412;1;2012.07.26
52805;78998765;20182;112;3;2013.09.30
52905;82298765;20182;212;3;2010.03.16
53005;93398765;20182;312;3;2011.05.27
53105;14612345;20183;113;3;2013.01.08
53205;12312345;20183;113;1;2013.09.02
53305;24412345;20183;113;3;2015.04.29
53405;24612345;20183;213;1;2018.01.05
53505;34512345;20183;213;1;2011.12.01
53605;31012345;20183;213;2;2010.10.03
53705;41254321;20183;313;3;2015.06.16
53805;54054321;20183;313;2;2017.07.09
53905;53254321;20183;313;2;2012.12.26
54005;62854321;20183;413;1;2012.08.25
54105;77298765;20183;413;3;2014.05.14
54205;72598765;20183;413;1;2013.03.23
54305;79498765;20183;113;3;2016.06.06
54405;80198765;20183;213;1;2010.11.21
54505;96798765;20183;313;1;2012.02.12
54605;12012345;20184;114;3;2012.11.06
54705;12212345;20184;114;1;2017.12.27
54805;20512345;20184;114;2;2017.05.21
54905;23612345;20184;214;3;2010.07.06
55005;32212345;20184;214;2;2015.11.19
55105;33712345;20184;214;3;2014.02.21
55205;43354321;20184;314;3;2015.07.11
55305;50654321;20184;314;2;2013.05.20
55405;50454321;20184;314;1;2015.05.06
55505;63754321;20184;414;1;2014.04.10
55605;75598765;20184;414;2;2017.11.28
55705;74498765;20184;414;3;2012.03.06
55805;77998765;20184;114;1;2016.02.23
55905;81498765;20184;214;2;2013.12.01
56005;96698765;20184;314;2;2010.11.29
56105;12612345;20185;115;2;2012.05.09
56205;12512345;20185;115;3;2017.04.23
56305;24012345;20185;115;3;2015.12.29
56405;22712345;20185;215;1;2015.03.14
56505;30912345;20185;215;1;2010.08.03
56605;34112345;20185;215;2;2011.12.18
56705;42554321;20185;315;2;2014.07.24
56805;53254321;20185;315;3;2010.09.09
56905;50354321;20185;315;2;2014.07.16
57005;61654321;20185;415;2;2014.01.11
57105;75198765;20185;415;3;2013.03.15
57205;70198765;20185;415;1;2016.05.03
57305;75098765;20185;115;3;2012.06.23
57405;82498765;20185;215;1;2013.10.09
57505;91198765;20185;315;2;2014.07.06
57605;13012345;20186;121;3;2013.12.13
57705;14412345;20186;121;1;2013.11.11
57805;22112345;20186;121;1;2017.06.30
57905;24412345;20186;221;1;2010.08.05
58005;33112345;20186;221;3;2015.11.05
58105;33712345;20186;221;1;2012.12.27
58205;40554321;20186;321;3;2010.05.14
58305;52254321;20186;321;1;2010.12.31
58405;53154321;20186;321;2;2013.06.16
58505;60454321;20186;421;1;2013.11.26
58605;74098765;20186;421;3;2011.10.05
58705;78098765;20186;421;2;2016.04.12
58805;79298765;20186;121;3;2017.05.04
58905;82998765;20186;221;3;2015.01.02
59005;96298765;20186;321;2;2010.08.17
59105;11112345;20187;122;1;2010.05.12
59205;12212345;20187;122;1;2010.07.17
59305;23912345;20187;122;3;2013.08.15
59405;21312345;20187;222;2;2017.05.18
59505;33312345;20187;222;3;2014.08.26
59605;31312345;20187;222;2;2017.06.03
59705;43854321;20187;322;3;2015.07.21
59805;50154321;20187;322;1;2011.10.10
59905;50754321;20187;322;1;2017.08.05
510005;61354321;20187;422;3;2011.01.07
510105;74198765;20187;422;1;2017.09.29
510205;73898765;20187;422;3;2011.11.12
510305;70498765;20187;122;2;2010.10.24
510405;81498765;20187;222;1;2015.12.11
510505;90398765;20187;322;1;2015.09.25
510605;14512345;20188;123;1;2015.12.16
510705;12712345;20188;123;1;2013.04.29
510805;20112345;20188;123;3;2015.11.21
510905;23612345;20188;223;3;2010.11.15
511005;33312345;20188;223;1;2010.07.29
511105;30712345;20188;223;3;2016.12.20
511205;43654321;20188;323;3;2018.04.13
511305;51454321;20188;323;3;2017.06.06
511405;53854321;20188;323;2;2014.08.18
511505;60454321;20188;423;1;2013.05.31
511605;73098765;20188;423;1;2011.01.31
511705;75798765;20188;423;3;2017.01.23
511805;78698765;20188;123;1;2016.12.23
511905;81098765;20188;223;1;2011.09.10
512005;91198765;20188;323;1;2014.02.06
512105;14612345;20189;124;2;2016.08.09
512205;13612345;20189;124;1;2015.02.20
512305;22512345;20189;124;3;2011.06.23
512405;23412345;20189;224;1;2017.09.06
512505;30512345;20189;224;3;2014.12.07
512605;33012345;20189;224;3;2013.12.16
512705;40854321;20189;324;1;2010.06.08
512805;53454321;20189;324;2;2012.12.20
512905;53154321;20189;324;3;2013.11.21
513005;60254321;20189;424;2;2011.07.14
513105;71898765;20189;424;3;2015.10.08
513205;71298765;20189;424;2;2012.07.23
513305;73598765;20189;124;1;2011.09.29
513405;81298765;20189;224;2;2018.03.14
513505;92298765;20189;324;2;2010.10.09
513605;12112345;201810;125;2;2010.05.24
513705;13312345;201810;125;1;2017.08.19
513805;23612345;201810;125;3;2012.02.29
513905;22412345;201810;225;2;2016.04.15
514005;33012345;201810;225;1;2015.09.16
514105;32112345;201810;225;2;2012.11.06
514205;41354321;201810;325;3;2015.07.29
514305;53654321;201810;325;1;2010.03.09
514405;52754321;201810;325;1;2015.09.09
514505;60154321;201810;425;3;2015.04.23
514605;74598765;201810;425;3;2015.04.03
514705;79198765;201810;425;2;2013.04.11
514805;74398765;201810;125;3;2013.12.26
514905;83798765;201810;225;3;2016.02.09
515005;97498765;201810;325;1;2016.12.12
515105;12612345;201811;131;3;2016.09.18
515205;14512345;201811;131;2;2012.07.30
515305;20912345;201811;131;3;2018.04.15
515405;20712345;201811;231;2;2012.12.04
515505;31012345;201811;231;1;2016.02.27
515605;33912345;201811;231;3;2016.11.19
515705;41554321;201811;331;1;2013.09.21
515805;50854321;201811;331;3;2016.09.02
515905;51954321;201811;331;1;2014.09.12
516005;61854321;201811;431;3;2017.08.01
516105;77098765;201811;431;2;2018.04.04
516205;73698765;201811;431;3;2013.10.17
516305;75898765;201811;131;1;2013.07.27
516405;84998765;201811;231;3;2010.02.20
516505;90498765;201811;331;3;2014.06.15
516605;12812345;201812;132;1;2016.09.17
516705;11412345;201812;132;2;2016.06.28
516805;24912345;201812;132;1;2014.10.10
516905;24812345;201812;232;3;2013.10.21
517005;33112345;201812;232;3;2015.01.12
517105;34712345;201812;232;2;2017.05.23
517205;41654321;201812;332;3;2013.08.09
517305;51054321;201812;332;3;2015.11.08
517405;53254321;201812;332;2;2017.03.12
517505;63054321;201812;432;1;2012.08.27
517605;75498765;201812;432;1;2014.02.28
517705;72398765;201812;432;1;2016.07.15
517805;73798765;201812;132;1;2012.05.28
517905;80898765;201812;232;1;2017.04.16
518005;90998765;201812;332;2;2016.12.22
518105;12412345;201813;133;2;2011.01.29
518205;14812345;201813;133;1;2012.09.28
518305;23812345;201813;133;3;2012.08.09
518405;22112345;201813;233;2;2014.07.01
518505;32912345;201813;233;1;2011.07.10
518605;33312345;201813;233;3;2013.10.22
518705;42454321;201813;333;1;2017.05.07
518805;50154321;201813;333;3;2015.01.09
518905;50854321;201813;333;2;2014.07.11
519005;64054321;201813;433;3;2010.10.14
519105;76698765;201813;433;3;2012.09.05
519205;70698765;201813;433;2;2010.09.21
519305;74898765;201813;133;1;2015.05.18
519405;82798765;201813;233;2;2013.04.21
519505;94798765;201813;333;3;2014.02.05
519605;11512345;201814;134;1;2015.01.25
519705;12412345;201814;134;1;2017.08.28
519805;21012345;201814;134;3;2013.07.06
519905;23812345;201814;234;2;2011.05.11
520005;31212345;201814;234;2;2010.01.14
520105;34512345;201814;234;3;2010.04.17
520205;43454321;201814;334;3;2014.12.01
520305;51954321;201814;334;3;2015.01.25
520405;50854321;201814;334;1;2011.04.26
520505;63354321;201814;434;3;2015.04.20
520605;79998765;201814;434;3;2015.04.13
520705;74898765;201814;434;2;2011.05.13
520805;71798765;201814;134;3;2010.10.09
520905;80398765;201814;234;2;2012.06.14
521005;95798765;201814;334;1;2016.04.28
521105;13412345;201815;135;3;2011.02.08
521205;10512345;201815;135;2;2017.07.08
521305;20912345;201815;135;1;2012.12.11
521405;20312345;201815;235;3;2014.05.31
521505;32112345;201815;235;2;2013.03.20
521605;31812345;201815;235;3;2013.02.15
521705;40654321;201815;335;1;2016.09.02
521805;52554321;201815;335;2;2015.03.28
